序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
1358,LI0000195,8757d8789744a3d86ba3ea64ab58dbaf5bde8b3a86a39358223f7ea7c6e0df75,Yes,"日常病程,物理检查,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,主要病变,PRIMARY_LESION,描述探查中发现的主要病变,Primary Lesion,解剖学部位、主要病灶、病灶类型,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000023.01.01,九院,解剖学部位,,SI1112433,,,,,文本,100,,,,,,,,,,
1380,LI0000197,27180ecfdfed38063c8d4a09c631fc459229bba77d1ec6db50240afd9fb1ef23,Yes,"入院记录,现病史,既往史,手术记录","东肝,九院,胸科",治疗与操作,药品名称,DRUG_NAME,用于识别一种特定药物的正式或通用名称。,Drug Name,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.15.00.0000148.01.01,九院,抗凝药物史类型,,SI1112488,,,,,枚举,,,,,,0=阴性;1=阳性;9=未做,否,,,,
1552,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.04.0000023.01.01,卫健委,既往疾病诊断名称代码,卫生服务对象既往所患疾病所属特定分类体系中的类别代码,SI1102446,,,WS364.4表5CV02.10.005既往患病种类代码表,,枚举,,,,,,无;高血压;糖尿病;冠心病;慢性阻塞性肺疾病;恶性肿瘤;脑卒中;重性精神疾病;结核病;肝脏疾病;先天畸形;职业病;肾脏疾病;贫血;其他法定传染病;其他,否,,,,
1553,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.00.0000007.01.01,九院,癌前状态疾病分类,,SI1112441,,,,,枚举,,,,,,0=阴性（-）;1=阳性（+）;9=不详,否,,,,
1560,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.04.0000058.01.01,中山七院,其它肿瘤病史,,SI1107161,,,,,文本,100,,,,,,,,,,
1561,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000195.01.01,卫健委,肿瘤患者转移标志,标识是否发生肿瘤病灶转移,SI1103478,,,,,布尔,,,,,,,,,,,
1565,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.00.0000006.01.01,九院,癌前状态疾病标志,,SI1112440,,,,,枚举,,,,,,0=无;1=轻度;2=中度;3=重度,否,,,,
1571,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.00.0000483.01.01,UDE,血液系统疾病/淋巴瘤疾病标志,,SI1121774,,,,,布尔,,,,,,,,,,,
1601,LI0000205,498c621a5a324c6d7108fdc699043f81876fdd6b907c7d358d559c90a0f0afce,Yes,手术记录,"东肝,九院",健康问题与诊断,转移部位,MET_SITES,描述转移的具体部位，如膈肌，肝周韧带，大网膜，肾上腺，脾脏，或广泛转移,Metastasis Sites,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.14.0000143.01.01,中山七院,受累及系统,,SI1106342,,,,,文本,100,,,,,,,,,,
1612,LI0000207,3cd57af25dd7e140ce74a6c30589a42d80700839ec50475ced140066fd533738,Yes,"物理检查,病理,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,转移标志,MET_IND,标识肿瘤是否存在转移,Metastasis Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.14.0000143.01.01,中山七院,受累及系统,,SI1106342,,,,,文本,100,,,,,,,,,,
1616,LI0000208,e70dca850e0c5e72237a95d06794f08326ed54f5c03b6e98587c216cb8faca9e,Yes,"物理检查,病理,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯标志,INV_IND,标识肿瘤是否侵犯周围组织或器官,Invasion Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.14.0000143.01.01,中山七院,受累及系统,,SI1106342,,,,,文本,100,,,,,,,,,,
1640,LI0000209,389cb17606c51c4f866d32b3f9233c373fbb999087a0d933b1bbe7dd87629ce9,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯部位/类型,INV_SITES,侵犯发生于神经、胆管、血管或者包膜的情况或者侵犯的具体部位，如“肝门”、“膈肌”、“胆囊”、“血管”等。,Invasion Sites,"侵犯情况,累及部位,侵犯类型",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000957.01.01,九院;东肝,血管侵犯,,SI1112467,,,,,枚举,,,,,,0=否;1=是,否,,,,
1648,LI0000209,389cb17606c51c4f866d32b3f9233c373fbb999087a0d933b1bbe7dd87629ce9,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯部位/类型,INV_SITES,侵犯发生于神经、胆管、血管或者包膜的情况或者侵犯的具体部位，如“肝门”、“膈肌”、“胆囊”、“血管”等。,Invasion Sites,"侵犯情况,累及部位,侵犯类型",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.14.0000143.01.01,中山七院,受累及系统,,SI1106342,,,,,文本,100,,,,,,,,,,
