序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,标签类型,所属实体标签（仅属性标签填写）,属性列表,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,项目名称
365,LI0000183,01893b347e63d28eafd13a6044a48af89ded5052ae7174a20c43ced3ad91aacc,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,淋巴结侵犯数目,NO_POSI_LN,属性标签,淋巴结转移部位,,指在手术切除或活检样本中，经病理学检查确认含有肿瘤细胞转移的淋巴结数量。,Number of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-影像检查
366,LI0000183,01893b347e63d28eafd13a6044a48af89ded5052ae7174a20c43ced3ad91aacc,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,淋巴结侵犯数目,NO_POSI_LN,属性标签,淋巴结转移部位,,指在手术切除或活检样本中，经病理学检查确认含有肿瘤细胞转移的淋巴结数量。,Number of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-专科检查
378,LI0000195,8757d8789744a3d86ba3ea64ab58dbaf5bde8b3a86a39358223f7ea7c6e0df75,Yes,"日常病程,物理检查,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,主要病变,PRIMARY_LESION,实体标签,,病变部位:LESION_LOC;病变大小:LESION_SIZE;转移部位:MET_SITES;侵犯部位/类型:INV_SITES;转移标志:MET_IND;侵犯标志:INV_IND,描述探查中发现的主要病变,Primary Lesion,解剖学部位、主要病灶、病灶类型,,,,【更新】九院实践-口腔癌-手术记录
383,LI0000197,27180ecfdfed38063c8d4a09c631fc459229bba77d1ec6db50240afd9fb1ef23,Yes,"入院记录,现病史,既往史,手术记录","东肝,九院,胸科",治疗与操作,药品名称,DRUG_NAME,实体标签,,,用于识别一种特定药物的正式或通用名称。,Drug Name,,,,,【更新】九院实践-口腔癌-既往史
391,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,实体标签,,,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,【更新】九院实践-口腔癌-既往史
395,LI0000199,e93433f4f1883ad249ea2aceb83a46f960a713314ecfae55a4e784a0aab64cd8,Yes,"物理检查,诊断,入院记录,现病史,既往史,手术记录","东肝,九院,胸科",健康问题与诊断,疾病名称,DIS_NAME,实体标签,,,诊断出的具体疾病名，这里主要关注肝癌及其相关病症。,Disease Name,"既往黏膜病史, 高血压, 冠心病, 糖尿病, 血液系统疾病, 其他肿瘤史, 术前诊断为肝内胆管癌",,,,【更新】九院实践-口腔癌-现病史
401,LI0000205,498c621a5a324c6d7108fdc699043f81876fdd6b907c7d358d559c90a0f0afce,Yes,手术记录,"东肝,九院",健康问题与诊断,转移部位,MET_SITES,属性标签,主要病变,,描述转移的具体部位，如膈肌，肝周韧带，大网膜，肾上腺，脾脏，或广泛转移,Metastasis Sites,,,,,【更新】九院实践-口腔癌-手术记录
408,LI0000207,3cd57af25dd7e140ce74a6c30589a42d80700839ec50475ced140066fd533738,Yes,"物理检查,病理,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,转移标志,MET_IND,属性标签,主要病变,,标识肿瘤是否存在转移,Metastasis Indicator,,,,,【更新】九院实践-口腔癌-手术记录
417,LI0000208,e70dca850e0c5e72237a95d06794f08326ed54f5c03b6e98587c216cb8faca9e,Yes,"物理检查,病理,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯标志,INV_IND,属性标签,主要病变,,标识肿瘤是否侵犯周围组织或器官,Invasion Indicator,,,,,【更新】九院实践-口腔癌-手术记录
421,LI0000209,389cb17606c51c4f866d32b3f9233c373fbb999087a0d933b1bbe7dd87629ce9,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯部位/类型,INV_SITES,实体标签,,,侵犯发生于神经、胆管、血管或者包膜的情况或者侵犯的具体部位，如“肝门”、“膈肌”、“胆囊”、“血管”等。,Invasion Sites,"侵犯情况,累及部位,侵犯类型",,,,【更新】九院实践-口腔癌-病理检查
427,LI0000209,389cb17606c51c4f866d32b3f9233c373fbb999087a0d933b1bbe7dd87629ce9,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯部位/类型,INV_SITES,属性标签,病变部位,,侵犯发生于神经、胆管、血管或者包膜的情况或者侵犯的具体部位，如“肝门”、“膈肌”、“胆囊”、“血管”等。,Invasion Sites,"侵犯情况,累及部位,侵犯类型",,,,【更新】九院实践-口腔癌-影像检查
428,LI0000209,389cb17606c51c4f866d32b3f9233c373fbb999087a0d933b1bbe7dd87629ce9,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯部位/类型,INV_SITES,属性标签,病变部位,,侵犯发生于神经、胆管、血管或者包膜的情况或者侵犯的具体部位，如“肝门”、“膈肌”、“胆囊”、“血管”等。,Invasion Sites,"侵犯情况,累及部位,侵犯类型",,,,【更新】九院实践-口腔癌-专科检查
431,LI0000209,389cb17606c51c4f866d32b3f9233c373fbb999087a0d933b1bbe7dd87629ce9,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,现病史,手术记录","东肝,九院,胸科",健康问题与诊断,侵犯部位/类型,INV_SITES,属性标签,主要病变,,侵犯发生于神经、胆管、血管或者包膜的情况或者侵犯的具体部位，如“肝门”、“膈肌”、“胆囊”、“血管”等。,Invasion Sites,"侵犯情况,累及部位,侵犯类型",,,,【更新】九院实践-口腔癌-手术记录
